report_date,Diagnosis,diagnosis_count
2020-01-01,Sciatica,3
2020-01-01,Angina,2
2020-01-01,Asthma,2
2020-01-01,Arthritis,1
2020-01-01,Viral Infection,1
2020-01-01,Migraine,1
2020-01-01,Gastritis,1
2020-01-01,Vertigo,1
2020-01-02,Arthritis,2
2020-01-02,Viral Infection,2
2020-01-02,Angina,1
2020-01-02,Dermatitis,1
2020-01-02,Gastritis,1
2020-01-02,Migraine,1
2020-01-03,Angina,2
2020-01-03,Viral Infection,1
2020-01-03,Bronchitis,1
2020-01-03,Migraine,1
2020-01-04,Angina,2
2020-01-04,Viral Infection,2
2020-01-04,Bronchitis,2
2020-01-04,Arthritis,1
2020-01-04,Dermatitis,1
2020-01-04,Migraine,1
2020-01-04,Vertigo,1
2020-01-04,Asthma,1
2020-01-04,Sciatica,1
2020-01-05,Gastritis,3
2020-01-05,Arthritis,2
2020-01-05,Dermatitis,2
2020-01-05,Vertigo,2
2020-01-05,Asthma,2
2020-01-05,Angina,1
2020-01-05,Sciatica,1
2020-01-06,Dermatitis,2
2020-01-06,Gastritis,2
2020-01-06,Vertigo,2
2020-01-06,Bronchitis,1
2020-01-06,Angina,1
2020-01-07,Vertigo,4
2020-01-07,Asthma,1
2020-01-07,Angina,1
2020-01-07,Dermatitis,1
2020-01-07,Migraine,1
2020-01-07,Arthritis,1
2020-01-08,Sciatica,2
2020-01-08,Viral Infection,2
2020-01-08,Gastritis,1
2020-01-08,Bronchitis,1
2020-01-08,Migraine,1
2020-01-09,Arthritis,3
2020-01-09,Sciatica,2
2020-01-09,Bronchitis,1
2020-01-09,Asthma,1
2020-01-09,Viral Infection,1
2020-01-09,Migraine,1
2020-01-10,Bronchitis,1
2020-01-10,Viral Infection,1
2020-01-10,Migraine,1
2020-01-10,Sciatica,1
2020-01-11,Arthritis,3
2020-01-11,Gastritis,2
2020-01-11,Bronchitis,1
2020-01-11,Angina,1
2020-01-11,Migraine,1
2020-01-12,Sciatica,2
2020-01-12,Dermatitis,2
2020-01-12,Angina,2
2020-01-12,Arthritis,1
2020-01-12,Gastritis,1
2020-01-12,Vertigo,1
2020-01-12,Bronchitis,1
2020-01-12,Asthma,1
2020-01-13,Bronchitis,3
2020-01-13,Vertigo,3
2020-01-13,Angina,2
2020-01-13,Asthma,2
2020-01-13,Viral Infection,1
2020-01-13,Arthritis,1
2020-01-13,Dermatitis,1
2020-01-14,Migraine,1
2020-01-14,Asthma,1
2020-01-14,Angina,1
2020-01-14,Vertigo,1
2020-01-15,Migraine,2
2020-01-15,Angina,2
2020-01-15,Viral Infection,1
2020-01-15,Sciatica,1
2020-01-15,Gastritis,1
2020-01-15,Vertigo,1
2020-01-16,Viral Infection,3
2020-01-16,Migraine,2
2020-01-16,Asthma,1
2020-01-16,Sciatica,1
2020-01-16,Vertigo,1
2020-01-17,Angina,4
2020-01-17,Vertigo,2
2020-01-17,Arthritis,2
2020-01-17,Migraine,1
2020-01-17,Asthma,1
2020-01-17,Dermatitis,1
2020-01-17,Bronchitis,1
2020-01-17,Gastritis,1
2020-01-18,Migraine,2
2020-01-18,Vertigo,1
2020-01-18,Viral Infection,1
2020-01-18,Dermatitis,1
2020-01-18,Sciatica,1
2020-01-19,Vertigo,3
2020-01-19,Dermatitis,2
2020-01-19,Gastritis,2
2020-01-19,Arthritis,1
2020-01-19,Angina,1
2020-01-20,Arthritis,2
2020-01-20,Angina,2
2020-01-20,Sciatica,2
2020-01-20,Gastritis,2
2020-01-20,Asthma,2
2020-01-20,Vertigo,1
2020-01-20,Viral Infection,1
2020-01-21,Vertigo,2
2020-01-21,Sciatica,2
2020-01-21,Bronchitis,1
2020-01-21,Gastritis,1
2020-01-21,Asthma,1
2020-01-21,Migraine,1
2020-01-22,Angina,3
2020-01-22,Vertigo,2
2020-01-22,Viral Infection,2
2020-01-22,Arthritis,2
2020-01-22,Gastritis,1
2020-01-22,Dermatitis,1
2020-01-23,Bronchitis,2
2020-01-23,Gastritis,2
2020-01-23,Vertigo,2
2020-01-23,Angina,2
2020-01-23,Migraine,2
2020-01-23,Viral Infection,1
2020-01-23,Sciatica,1
2020-01-23,Dermatitis,1
2020-01-23,Arthritis,1
2020-01-24,Bronchitis,2
2020-01-24,Sciatica,2
2020-01-24,Vertigo,1
2020-01-24,Viral Infection,1
2020-01-24,Dermatitis,1
2020-01-24,Migraine,1
2020-01-25,Viral Infection,4
2020-01-25,Migraine,2
2020-01-25,Arthritis,2
2020-01-25,Sciatica,2
2020-01-25,Angina,2
2020-01-25,Gastritis,2
2020-01-25,Dermatitis,1
2020-01-25,Vertigo,1
2020-01-25,Bronchitis,1
2020-01-26,Dermatitis,2
2020-01-26,Bronchitis,2
2020-01-26,Asthma,2
2020-01-26,Sciatica,1
2020-01-26,Vertigo,1
2020-01-26,Viral Infection,1
2020-01-26,Gastritis,1
2020-01-27,Arthritis,3
2020-01-27,Sciatica,2
2020-01-27,Viral Infection,1
2020-01-27,Migraine,1
2020-01-27,Dermatitis,1
2020-01-27,Angina,1
2020-01-28,Angina,3
2020-01-28,Asthma,3
2020-01-28,Vertigo,1
2020-01-28,Viral Infection,1
2020-01-28,Sciatica,1
2020-01-28,Bronchitis,1
2020-02-01,Angina,3
2020-02-01,Migraine,2
2020-02-01,Viral Infection,2
2020-02-01,Bronchitis,1
2020-02-01,Arthritis,1
2020-02-02,Angina,2
2020-02-02,Dermatitis,1
2020-02-02,Asthma,1
2020-02-02,Bronchitis,1
2020-02-02,Arthritis,1
2020-02-03,Bronchitis,2
2020-02-03,Gastritis,2
2020-02-03,Migraine,1
2020-02-03,Angina,1
2020-02-03,Arthritis,1
2020-02-03,Viral Infection,1
2020-02-04,Dermatitis,2
2020-02-04,Angina,2
2020-02-04,Migraine,1
2020-02-04,Asthma,1
2020-02-04,Bronchitis,1
2020-02-04,Viral Infection,1
2020-02-04,Vertigo,1
2020-02-05,Asthma,2
2020-02-05,Arthritis,2
2020-02-05,Gastritis,2
2020-02-05,Dermatitis,1
2020-02-05,Migraine,1
2020-02-05,Angina,1
2020-02-05,Bronchitis,1
2020-02-05,Vertigo,1
2020-02-06,Vertigo,3
2020-02-06,Viral Infection,1
2020-02-06,Gastritis,1
2020-02-06,Angina,1
2020-02-06,Sciatica,1
2020-02-06,Asthma,1
2020-02-06,Dermatitis,1
2020-02-07,Angina,2
2020-02-07,Arthritis,1
2020-02-07,Gastritis,1
2020-02-07,Viral Infection,1
2020-02-07,Bronchitis,1
2020-02-07,Sciatica,1
2020-02-07,Asthma,1
2020-02-08,Arthritis,4
2020-02-08,Migraine,2
2020-02-08,Viral Infection,1
2020-02-08,Gastritis,1
2020-02-08,Bronchitis,1
2020-02-09,Gastritis,2
2020-02-09,Sciatica,2
2020-02-09,Angina,1
2020-02-09,Migraine,1
2020-02-10,Angina,2
2020-02-10,Viral Infection,1
2020-02-10,Dermatitis,1
2020-02-10,Asthma,1
2020-02-10,Sciatica,1
2020-02-10,Gastritis,1
2020-02-11,Gastritis,3
2020-02-11,Dermatitis,2
2020-02-11,Asthma,2
2020-02-11,Sciatica,2
2020-02-11,Arthritis,2
2020-02-11,Migraine,1
2020-02-11,Bronchitis,1
2020-02-12,Dermatitis,2
2020-02-12,Angina,2
2020-02-12,Viral Infection,1
2020-02-12,Arthritis,1
2020-02-12,Asthma,1
2020-02-12,Migraine,1
2020-02-13,Asthma,2
2020-02-13,Sciatica,2
2020-02-13,Bronchitis,2
2020-02-13,Arthritis,1
2020-02-13,Viral Infection,1
2020-02-13,Vertigo,1
2020-02-13,Angina,1
2020-02-13,Migraine,1
2020-02-14,Angina,3
2020-02-14,Dermatitis,2
2020-02-14,Viral Infection,1
